id,label,left_title,right_title
1,0,388504-B21 HP Storageworks Internal  "Null" Price 388504-B21" Internal Wholesale 388504-B21,Null  "449363-B21 HP SC40Ge Host Bus Adapter" Adapter Wholesale 449363-B21 Price 449363-B21"
2,0,XTA-3510-73-GB-10K (540-5629) Sun 73-GB  "Null" 73-GB Wholesale XTA-3510-73-GB-10K Price XTA-3510-73GB-10K",359461-007 HP 300-GB 10K FC-AL HDD "Null"
3,1,Corsair Vengeance LPX Black 64GB (4x16GB) DDR4 PC4-21300 2666MHz Quad Channel Kit @en 4x16GB | CMK64GX4M4A2666C16 Novatech"@en,Corsair Vengeance LPX CMK64GX4M4A2666C16 - Prijzen @NL Tweakers"@NL
4,0,BF036863B5 HP 36.4-GB U320 SCSI 15K "Null",HP 36 GB 10K rpm FC disk hard drive "Product data HP drive internal drives (238590-B21)"
5,1,HP BL460c G7 Intel Xeon E5607 Processor Kit - Prijzen @NL Tweakers"@NL,637414-B21 HP Xeon E5607 2.26GHz BL460c G7   "Null" "New 637414-B21 Wholesale Price 637414-B21"
6,0,458418-B21 HP E5410 2.33GHz ML370 G5  "Null" "New 458418-B21 G5 Wholesale Price 458418-B21",488039-B21 HP X5470 3.33GHz ML370 G5 "Null"
7,0,Transcend Ultimate - flash memory card 32 GB microSDHC UHS-I " Transcend UHS-I TS32GUSDU3 Flash Memory Cards CDW.com,Transcend JetFlash 500 - USB flash drive 8 GB " Transcend GB TS8GJF500 Thumb Drives CDW.com
8,0,417190-002 HP 72-GB 15K 3.5 DP SAS HDD "HP 417190-002 HDD Part# -417190-002",512743-001 HP 72-GB 6G 15K 2.5 DP SAS  "Null" Price 512743-001-5Pack" "New 512743-001 SAS 5 Pack Wholesale
9,0,494267-B21 AMD Opteron 8384 2.7GHz BL685c G5 "Null",458418-B21 HP E5410 2.33GHz ML370 G5 "Null"
10,0,Mac Mini Aluminum Unibody 2.6GHZ Dual Core i5 (Late 2014). - Apple MGEN2LL/A " Used Mac 2014) MGEN2LL/A GainSaver,Apple MacBook Pro 13-inch 2.9GHz Core i7 (Retina  Late 2012) MD213LL/A "MacBook Retina 13" (Late | macofalltrades"
11,0,Gigabyte Radeon RX 580 Gaming 4096MB GDDR5 PCI-Express Graphics Card@en "? Gigabyte Graph… | OcUK"@en,AMD Radeon Pro WX 4100 4GB - Prijzen @NL Tweakers"@NL
12,0,662078-B21 HP Intel Xeon E5-2650L 1.8GHz BL460c G8  "Null" "New 662078-B21 G8 Wholesale Price 662078-B21",HP BL460c G7 Intel Xeon E5607 Processor Kit - Prijzen @NL Tweakers"@NL
13,0,249674-001 HP 256MB200MHz DDR PC1600 EC "Null",175924-001 HP 256MB DDR SDRAM Memory  "Null" "New 175924-001 Memory Wholesale Price 175924-001"
14,0,HP 242469-001 15/30-GB Ext SCSI DLT "Null",BD1465822C HP 146.8-GB 10K FC-AL HDD "Null"
15,0,Samsung M390S0823DT1-C75 ASI 64MB 168p PC133 CL3 9c 8x8 1Rx8 3.3v SDRAM ECC RDIMM,Kingston DataTraveler SE9 G2 16 GB USB 3.0 " Kingston 3.0 - DTSE9G2/16GB Thumb Drives CDW.com
16,0,Corsair CO-9050004-WW co9050004ww 2pk Air Series Af120 120mm Performance Ed High Airflow Fan@en Fan for $26.25."@en,Corsair SP120 Performance Series High Pressure - Dual Pack (CO-9050008-WW)@en "? Corsair (… | OcUK"@en
17,0,ST31000524NS Seagate 1-TB 7.2K 3.5 3G SATA  "Null" "New ST31000524NS SATA 10 Pack Wholesale Price ST31000524NS-10Pack",Null  "658071-B21 HP G8 G9 500-GB 6G 7.2K 3.5 SATA SC " "New 658071-B21 5 Pack Wholesale Price 658071-B21-5Pack"
18,0,470065-235 DL320 G6 Xeon E5504 2.0GHz  "Null" Price 470065-235" 2.0GHz Wholesale 470065-235,442992-B21 HP Xeon E5335 2.0GHz DL140 G3  "Null" "New 442992-B21 G3 Wholesale Price 442992-B21"
19,1,DG0300FARVV HP 300-GB 6G 10K 2.5 DP SAS HDD "HP DG0300FARVV HDD Part# -DG0300FARVV",DG0300FARVV HP 300-GB 6G 10K 2.5 DP SAS  "Null" Price DG0300FARVV-5Pack" "New DG0300FARVV SAS 5 Pack Wholesale
20,0,Samsung SSD 840 EVO 1@sk | Net-Développements.com - sk"@sk,WD Blue WDS100T1B0A SSD 1 To SATA 6Gb/s (garantie 3 ans)@fr
21,0,ASUS PCE-AC55BT - network adapter " ASUS adapter Wireless Adapters & Accessories CDW.com,Asus PCE-AC55BT B1 - Prijzen @NL Tweakers"@NL
22,0,308724-001 DL360R G3 Xeon 2.8GHz 512MB "Null",COMPAQ PL ML530R G3 Xeon 3.0GHz 1GB "Null"
23,0,Kingston HyperX Fury 16 Go@fr Go - fr"@fr,Corsair - Vengeance 8GB (2 x 4GB) DDR3-1866 Memory Memory (CMZ8GX3M2A1866C9) PCPartPicker"
24,0,TP-Link AV1000 2-Port Gigabit Passthrough Powerline Starter Kit (TL-PA7020P KIT)@en "? TP-Link … | OcUK"@en,Tp-Link TL-WN881ND PCI-E N 300Mbps@es
25,0,RAM 8GB 2RX8 10600 9 UDIMM UDIMM | Tradineur.com",HP Original 500670-B21 CNJ 2GB 240P PC3-10600 CL9 18c 128x8 DDR3-1333 1.5V ECC UDIMM Retail
26,1,238921-B21 HP 72.8-GB 10K FC-AL HDD  "Null" Price 238921-B21" "New 238921-B21 HDD Wholesale,238921-B21 HP 72.8-GB 10K FC-AL "Null"
27,0,HP Pavilion Power 15-cb008ns i7-7700HQ 8GB 1TB Nvidia GTX1050 2GB 15.6@es Pro x2 612 G2 2 en 1 Core M3-7Y30 128GB SSD Tactil 12 FHD W1... "@es,Asus P541UJ-GO626T i7-7500u 12GB 1TB Nvidia GT920 2GB 15.6 W10 Chocolate@es VivoBook Max K541UA-GO1205T 8GB Gris Edi... "@es
28,0,Zebra Card Printer ZXP7@en " Zebra ZXP7 cod.Z71-R00W0000EM00 "@en,HP LaserJet Pro M102w Wireless Laser Printer (G3Q35A). Replaces HP P1102 Printer "Printers & Accessories - Page 111 | Office Supplies Authority"
29,0,Placa Som Asus Xonar Essence STX II 7.1@pt 7.1 (90YA00NN-M0UA00) - PCDIGA"@pt,Asus DUAL-GTX1060-3G - Prijzen @NL Tweakers"@NL
30,0,Lenovo ThinkPad 11e Chromebook - 11.6 Celeron N3160 4 GB RAM 16 S" " Lenovo S 20GF0003US Notebook Computers CDW.com,Open Box Lenovo ThinkPad Yoga 11e G3 Celeron N3160 1.6GHz 4GB 16GB ac BT WC 3C 11.6 HD MT Chrome"@en (20GE0003US)"@en
31,0,Corsair CMU32GX4M4C3000C15@es,Corsair Vengeance LED CMU64GX4M4C3000C15 - Prijzen @NL Tweakers"@NL
32,0,HP Pavilion 32 Monitor @nl - HP Store Netherlands"@nl,Apple 12.9-inch iPad Pro Wi-Fi - tablet 32 GB 12.9"  Apple 12.9" ML0G2LL/A Tablets CDW.com
33,0,Corsair Obsidian 350D Micro ATX Case - Black (CC-9011028-WW)@en "? Corsair (CC-9011028-WW) | OcUK"@en,Corsair Carbide Series 400Q @en inchSilentinch Mid Tower Case | CC-9011100-WW Novatech"@en
34,0,256MX64 DDR2-800 CL5 CL5 | Tradineur.com",Kingston ValueRAM - DDR3 8 GB: 2 x 4 GB DIMM 240-pin " Kingston 240-pin KVR13N9S8HK2/8 Server Memory CDW.com
35,0,M393B2G70DB0-YK0 Samsung 16GB DDR3 PC12800 Memory,4GB DDR3 PC3-12800 Unbuffered NON-ECC SODIMM RAM Memory@en-gb Sodimm
36,1,Corsair AX860i@es,Corsair AX860i 80+ Platinum
37,0,453475-B21 HP Xeon L5335 2.0GHz DL140 G3 "Null",HP Intel Xeon E7-4830 - Prijzen @NL Tweakers"@NL
38,1,Logitech C270 3MP 1280 x 720pixels USB 2.0 Black webcam "Product data Logitech webcam webcams (960-001063 5099206064201)",WebCam HD C270 Retail (Remplace C250)@fr
39,0,Gigabyte Brix GB-BKi5HA-7200 Kit - Intel Core i5-7200U Processor@en-US Processor -Wired Systems Cebu Philippines"@en-US,Apple Mac mini 2.8GHz Intel Core i5@es i5-4260U 4GB RAM 500GB HD5000 Sierra "@es
