id,label,left_title,right_title
1,0,Puma Popcat - Bleu/ Blanc@fr " Puma chaussures pour homme bleu blanc "@fr,Concave Halo+ FG Microfiber - Blue/White@en " Concave Mens Soccer Cleats Firm Ground Blue/White "@en
2,0,Nike Zoom Speed TR3 - Karminrot/Schwarz/Volt@de " Nike Herrenschuhe Karminrot/Schwarz/Volt "@de,Nike Zoom Speed TR3 - Verde/Bianco/Nero@it " Nike Scarpe Uomo Verde-Bianco-Nero "@it
3,0,Nike WMNS Air Force 1 Low Upstep BR white (833123-100)@eu (833123-100) | Bludshop.com"@eu,Shoes Air Force I '07@en '07 6038 | Shoes \ Lifestyle - Basketball shop Basketmania"@en
4,0,Concave Junior Halo+ FG - Nero/Oro@it " Concave Terreni Compatti Nero/Oro "@it,Puma Kids King Top i FG - Black/White/Team Gold@en " Puma Junior Boots Firm Ground 10246601 Gold "@en
5,0,Nike Junior Mercurial Vapor X FG - Rouge Vif/ Violet Persan/ Noir@fr " chaussures de football junior Nike terrain sec enfant- rouge vif-violet persan-noir "@fr,Buty Nike Junior Mercurial Victory V FG - Szkar?atny/Perski fiolet/Czarny@pl " Dzieci?ce buty pi?karskie Korki Intense Heat Twarde pod?o?e Trawa naturalna Lanki 651634-650 Szkar?atny-Perski fiolet-Czarny "@pl
6,1,Air Jordan 6 (VI) Retro “Champagne Bottle” Pro Green/Metallic Gold-Chilling Red-Black@en-US Red-Black | New Jordans 2015"@en-US,New Air Jordan 6 Retro “Champagne Bottle”@en-US Bottle” | Women Jordans 2017"@en-US
7,0,Nike WMNS Tennis Classic@en Classic White Black 312498-130 - Purchaze"@en,Nike WMNS Benassi Jdi black / white (343881-011)@eu (343881-011) | Bludshop.com"@eu
8,0,Zoom Speed Tr 3@fr 00?€ modèle homme"@fr speed tr 3 nike noir et vert à partir de 63,Nike Nike Zoom Speed TR3 - Blu Royal Intenso/Bianco/Nero@it " Scarpe Uomo Intenso/Bianco/Nero "@it
9,0,Suede Classic@en,Puma Basket Classic LFS - Wit@nl " Heren Schoenen Puma Wit "@nl
10,0, Keen Commuter III Black/Gargoyle @en "Keen - en"@en, Keen Yoyageur Black Olive/Inca Gold @da "Keen - dk"@da
11,0,Air Jordan 14 Low ‘Laney’ Varsity Royal/Black-Varsity Maize-White@en-US Maize-White – Hoop Jordan"@en-US,Air Jordans 11 Retro Low White Black-Concord For Sale@en-US Sale | 2017 Air Jordan Shoes"@en-US
12,0,Puma EvoSpeed SL II Leather Tricks FG – The Soccer Factory@en-US,Nike Tiempo Genio II Piel FG -Negro/Blanco/Dorado metalizado@es " Nike - Botas de futbol-Terrenos firmes-Negro/Blanco/Dorado metalizado "@es
13,1,Free RN "Nike Free RN - 831508 100 | everysize.com",Nike Free Run - Blanco/Negro@es " Nike Zapatillas para hombre-Blanco/Negro "@es
14,1,NIKE FREE RN@pl RN | SZARY 349 99 PLN Running 831508101 - UP8.com"@pl,Nike Free Run - Blanco/Negro/Platino@es " Nike Zapatillas de correr- Blanco/Negro/Platino "@es
15,1,Puma King Pro SG - Black/White/Team Gold@en " Puma Mens Boots Soft Ground Gold "@en,Puma King Pro SG - Blk/Wht/Gold@en " Puma Rugby Boots Soft Ground Black-White-Gold "@en
16,0,NIKE Roshe One Premium (833928-004) Sneakers for Women @ upclassics,Shoes Air Force I '07@en '07 6038 | Shoes \ Lifestyle - Basketball shop Basketmania"@en
17,0,Asics Gel-Craze TR 4 - Black/Black/White@en " Asics Black/Black/White Mens Shoes S705N-9099 "@en,Gel Sonoma 3 G-TX M "Asics"
18,0,Basketball shoes Air Jordan VI Retro PRM Heriress@en Heriress | Shoes \ %SALE% - Basketball shop Basketmania"@en,2017 Cheap All-Star Air Jordan 6 “Chameleon” For Sale@en-US Sale | Jordans 2017"@en-US
19,1,Puma Speed 1000 S IGNITE -Azul/Rojo/Blanco@es " Puma -Zapatillas para hombre-Azul/Rojo/Blanco "@es,Puma Speed 1000 S IGNITE - Quarry-Bleu Atomique-Blanc@fr " Puma chaussures pour homme quarry-bleu atomique-blanc "@fr
20,0, Rumi Top in Black "AMANDA UPRICHARD Joan Penny Ruffle Dresses and many more @ SINGER22",Air Jordans 9 Retro Black/Matte Silver-University Blue For Sale@en-US Sale | New 2017"@en-US
21,0,GEL-CRAZE TR 4@fr-fr 4 | Men CHAUSSURES FITNESS & TRAINING POUR HOMMES ASICS"@fr-fr,GEL-RESOLUTION 7 DA UOMO@it-it UOMO | Men SCARPE TENNIS ASICS"@it-it
22,0,Zapatillas Asics Gel-Kayano Trainer Evo black-dark grey,Sneakers buty Asics Gel-Kayano Trainer Evo gecko green / guava (HN6D0-8873)@pl (HN6D0-8873) | Bludshop.com"@pl
23,0,Puma evoSPEED SL FG - Lava/Blanco/Eclipse total@es " Puma Botas de futbol Puma- Terrenos firmes-Lava-Blanco-Eclipse total "@es,Puma evoSPEED 1.3 Graphic FG - White-Sea Pine-High Risk Red@en " Puma Football Boots Firm Ground Soccer Cleats Red 10330401 "@en
24,1,Nike Sportswear Air Max 90 Essential - University Blue@en " Mens Shoes Nike Blue 537384-416 "@en,Sneakers buty Nike Air Max 90 Essential university blue / navy grey white 537384-416@pl 537384-416 | Bludshop.com"@pl
25,0,NIKE JR MERCURIAL VICTORY FG@en apparel and sports equipment"@en FG - SOCCER SHOES Nike colour White 651634 107 Athletic footwear,Nike Tiempo Legacy FG - Anthracite/Black/Volt@en " Nike Mens Boots Firm Ground Anthracite/Black/Volt "@en
26,1,Nike Zoom Train Complete - Negro/Antracita/Blanco@es " Nike -Zapatillas de deporte-Negro/Antracita/Blanco "@es,Nike Zoom Train Complete - Nero/Antracide/Bianco@it " Nike Scarpe Uomo Training Regolare Nero/Antracide/Bianco "@it
27,0,2017 New Arrival Air Jordan 11 “Midnight Navy” University Blue White For Sale@en-US Sale | Jordans 2017"@en-US,Air Jordan Retro "Nike Air Retro - 378038-123 | everysize.com"
28,0,Concave Halo+ FG Microfiber - Blue/White@en " Concave Mens Soccer Cleats Firm Ground Blue/White "@en,Concave Quantum + FG - Wit/Limoen@nl " Concave Heren Voetbalschoenen Ferme Grond Wit-Limoen "@nl
29,1,NIKE JR TIEMPO LEGEND VI FG@de FG - KIND FU?BALLSCHUHE NOCKEN Nike Farbe Grün 819186 307 Der Online-Shop für deine Sportbekleidung"@de,Nike Junior Tiempo Legend VI FG - Giada/Nero/Volt@it " Nike Scarpe Terreni Compatti Giada/Nero/Volt "@it
30,0,Buty Puma evoPOWER 4.2 FG JR - Peacoat-Bia?y-Bright Plasma@pl " Korki Dzieci?ce buty pi?karskie Twarde pod?o?e Trawa naturalna Lanki Plasma 10322801 "@pl,Puma evoSPEED 2.3 FG - Plasma/Blanco/Peacoat@es " Botas de futbol Puma- Puma -Terrenos firmes- 10301102-Plasma/Blanco/Peacoat "@es
