id,label,left_title,right_title
1,0,Automatikuhr Max Bill@de "Junghans Automatikuhr Bill 027/4700.00 nur 925 00 €"@de,Max Bill Automatic Acier/Noir - Junghans@fr-fr Junghans 027/3400.00"@fr-fr
2,1, Mens Nixon The Crew Watch A1186-001 New arrivals | Shop New Hut", Mens Nixon The Crew Watch A1186-001 Sale | Hut"
3,0, Classic Diamond Tennis Bracelet in 14k White Gold (7) "@en "Classic | Shane Co."@en, Link and Round Diamond Ring @en "Link | Shane Co."@en
4,0,SUUNTO AMBIT 3 PEAK BLACK HR@de HR - TREKKING GPS Suunto Farbe Schwarz SS020674000 Der Online-Shop für deine Sportbekleidung"@de,Suunto Core All Black Military Men's Outdoor Sports Watch - SS014279010 "Electronics & Gadgets | Running Outlet Express"
5,0,DREAMNIGHT@es " Swatch? México - Chrono (? 40 47 MM) DREAMNIGHT YCS485GC "@es, Unisex Swatch Flexiblack Watch LB183B Latest Mens Watches"
6,1,Daniel Wellington Classic Man Sheffield silver@en-GB silver 10:35 Watch boutique"@en-GB,Sheffield Silver Reloj para hombre 40mm@es 00 €"@es "Daniel Wellington Sheffield 40mm nur 149
7,0, Automatic small second Steel on leather strap @en-US "Maestro - Silver Leather Black Watch Raymond Weil"@en-US,Raymond Weil Maestro Watch 2227-STC-00659 "Shop Raymond 2227-STC-00659 Watches | Costello Jewelry Company"
8,0,Jazzmaster Day Date Herren-Automatikuhr@de "Hamilton Jazzmaster Herren-Automatikuhr nur 675 00 €"@de,JAZZMASTER MAESTRO AUTOCHRONO@es AUTOCHRONO - Tomas Colomer"@es
9,0,Michele Deco Mid Watch MWW06V000003 "Shop Michele MWW06V000002 Watches | Costello Jewelry Company",Michele Deco Mid Watch MW06V00A0029_MS16DM235009 "Shop Michele MW06V00A0029_MS16DM235009 Watches | Costello Jewelry Company"
10,1, MAUR?CE LACRO?X AI1018PVY11132-1 Erkek Kol Saati @tr "Maurice Lacroix En Ucuz Fiyat"@tr,Mens Aikon Chronograph Watch @de "Maurice Lacroix Schweizer hergestellt luxuri?s Uhren - including Pontos Miros Fiaba und Les Classique ranges"@de
11,0,Cartier Santos De Cartier Galbée Watch W20012C4 "Shop W20056D6 Watches | Northeastern Fine Jewelry",Cartier Tank Louis Cartier Watch W1529756 "Shop WGTA0010 Watches | Northeastern Fine Jewelry"
12,0, Princess Cut Diamond Ring @en "Princess | Shane Co."@en, 5mm Cultured Freshwater Pearl  Black Agate and Sterling Silver Necklace (47) "@en | Shane Co."@en "5mm Pearl
